ID,Feature,Area,Route,User Story,Expected Behaviour,Status,Test Result,Errors Found,Fix Applied,Re-test Result
NAV-03,Avatar Menu,Nav,N/A (global),"As a user, I want to click my avatar to access account options, so that I can manage my profile","Avatar dropdown menu with profile, settings, sign out. Menu uses React state + useEffect close-on-navigate. border border-border for visibility in dark mode.","Implemented","pending","","",""
GLOBAL-01,Dark Mode Theme,Global,N/A (global),"As a user, I want the app to respect my system dark mode preference and allow manual toggle, so that I study comfortably","ThemeProvider syncs theme-color meta tag dynamically. Uses getComputedStyle for --system-background. SSR viewport with light/dark media query.","Implemented","pending","","",""
GLOBAL-02,Immersive Mode,Global,N/A (global),"As a user, I want a distraction-free full-screen mode for focused study, so that I can concentrate","ImmersiveModeProvider context. useImmersiveMode hook. TopNav, BottomNav, DesktopSidebar return null when isImmersive. Exit button pill top-right.","Implemented","pending","","",""
GLOBAL-03,View Transitions,Global,N/A (global),"As a user, I want smooth page transitions, so that navigation feels fluid","useNavigationDirection owns full lifecycle with startViewTransition wrapper. ViewTransition component for shared element animations.","Implemented","pending","","",""
GLOBAL-04,PWA Install,Global,N/A (global),"As a user, I want to install Lumni as a PWA, so that I can use it like a native app","Service worker (public/sw.js) with navigation preload + offline fallback. Manifest theme_color. pwa_install + offline_visit event tracking.","Implemented","pending","","",""
GLOBAL-05,Math Equation Rendering,Global,N/A (global),"As a student, I want mathematical equations rendered correctly, so that I can read formula-based content","MarkdownRenderer uses remark-math + rehype-katex. Equation component for standalone math. Dollar-sign delimiters ($ for inline, $$ for display).","Implemented","pending","","",""
GLOBAL-06,Loading States / Skeleton,Global,N/A (global),"As a user, I want to see loading skeletons while content loads, so that I know the app is working","PageSkeleton, FormSkeleton, QuestionCardSkeleton, Skeleton components used across all pages. Suspense boundaries with fallbacks.","Implemented","pending","","",""
GLOBAL-07,Error Boundaries,Global,N/A (global),"As a user, I want to see a graceful error UI when something crashes, so that I'm not left with a blank screen","AppErrorBoundary wraps page content. Shows error state with retry option.","Implemented","pending","","",""
GLOBAL-08,Notification Service,Global,N/A (global),"As a user, I want to receive push notifications for important events, so that I stay informed","notification-service.ts with permission + subscribe + local notifications. VAPID-based web push. Wired to onboarding step 4. scheduleDailyDigest for daily summary.","Implemented","pending","","",""
GLOBAL-09,Cookie Banner,Global,N/A (global),"As a visitor, I want to be informed about cookie usage and consent, so that I can make a choice","Cookie banner on first visit. Accept/Decline buttons. Consent persisted to Dexie/Datasharing consent.","Implemented","pending","","",""
GLOBAL-10,i18n / Locale Switching,Global,N/A (global),"As a user, I want to use the app in English/Afrikaans/isiZulu, so that I can study in my preferred language","next-intl integration. [locale] routing. Translation files for en, af, zu. Scripts for checking and translating.","Implemented","pending","","",""
